leaf,count
"('i06', 'e04', 'c5', 'p17', 'l1')",4032
"('i06', 'e09', 'c5', 'p19', 'l2')",4032
"('i06', 'e11', 'c5', 'p15', 'l2')",4032
"('i06', 'e10', 'c5', 'p16', 'l3')",4032
"('i38', 'e08', 'c1', 'p19', 'l2')",4032
"('i38', 'e10', 'c1', 'p29', 'l3')",4032
"('i06', 'e04', 'c5', 'p11', 'l1')",4032
"('i06', 'e10', 'c5', 'p05', 'l3')",4032
"('i06', 'e10', 'c5', 'p21', 'l3')",4032
"('i06', 'e10', 'c5', 'p29', 'l3')",4032
"('i06', 'e08', 'c5', 'p19', 'l2')",4032
"('i38', 'e11', 'c1', 'p16', 'l2')",4032
"('i06', 'e08', 'c5', 'p21', 'l2')",4032
"('i06', 'e10', 'c5', 'p24', 'l4')",4032
"('i06', 'e10', 'c5', 'p17', 'l4')",4032
"('i06', 'e10', 'c5', 'p09', 'l4')",4032
"('i06', 'e11', 'c5', 'p19', 'l2')",4032
"('i02', 'e08', 'c1', 'p21', 'l3')",4032
"('i06', 'e10', 'c5', 'p03', 'l3')",4032
"('i06', 'e08', 'c5', 'p14', 'l2')",4032
"('i38', 'e10', 'c1', 'p01', 'l3')",4032
"('i06', 'e10', 'c5', 'p28', 'l3')",4032
"('i06', 'e10', 'c5', 'p25', 'l3')",4032
"('i06', 'e04', 'c5', 'p18', 'l1')",4032
"('i06', 'e10', 'c5', 'p32', 'l4')",4032
"('i02', 'e01', 'c1', 'p19', 'l3')",4032
"('i02', 'e09', 'c1', 'p11', 'l3')",4032
"('i06', 'e08', 'c5', 'p03', 'l2')",4032
"('i38', 'e10', 'c1', 'p08', 'l3')",4032
"('i06', 'e10', 'c5', 'p24', 'l3')",4032
"('i38', 'e11', 'c1', 'p01', 'l2')",4032
"('i38', 'e10', 'c1', 'p14', 'l4')",4032
"('i38', 'e10', 'c1', 'p10', 'l2')",4032
"('i06', 'e11', 'c5', 'p16', 'l2')",4032
"('i06', 'e12', 'c5', 'p19', 'l3')",4032
"('i06', 'e10', 'c5', 'p20', 'l3')",4032
"('i38', 'e10', 'c1', 'p24', 'l3')",4032
"('i06', 'e10', 'c5', 'p16', 'l4')",4032
"('i06', 'e10', 'c5', 'p11', 'l1')",4032
"('i38', 'e10', 'c1', 'p17', 'l3')",4032
"('i38', 'e10', 'c1', 'p03', 'l3')",4032
"('i06', 'e10', 'c5', 'p17', 'l3')",4032
"('i06', 'e10', 'c5', 'p09', 'l3')",4032
"('i06', 'e11', 'c5', 'p18', 'l2')",4032
"('i06', 'e08', 'c5', 'p16', 'l2')",4032
"('i02', 'e08', 'c1', 'p17', 'l3')",4032
"('i38', 'e10', 'c1', 'p35', 'l2')",4032
"('i34', 'e03', 'c5', 'p10', 'l3')",4032
"('i38', 'e11', 'c1', 'p29', 'l2')",4032
"('i38', 'e10', 'c1', 'p15', 'l3')",4032
"('i38', 'e10', 'c1', 'p11', 'l3')",4032
"('i06', 'e12', 'c5', 'p17', 'l3')",4032
"('i38', 'e10', 'c1', 'p02', 'l3')",4032
"('i06', 'e11', 'c5', 'p12', 'l2')",4032
"('i38', 'e11', 'c1', 'p04', 'l2')",4032
"('i38', 'e10', 'c1', 'p12', 'l4')",4032
"('i06', 'e12', 'c5', 'p14', 'l3')",4032
"('i38', 'e10', 'c1', 'p02', 'l4')",4032
"('i06', 'e10', 'c5', 'p13', 'l3')",4032
"('i38', 'e08', 'c1', 'p10', 'l2')",4032
"('i06', 'e08', 'c5', 'p25', 'l2')",4032
"('i47', 'e09', 'c1', 'p35', 'l3')",4032
"('i06', 'e04', 'c5', 'p29', 'l1')",4032
"('i38', 'e10', 'c1', 'p23', 'l3')",4032
"('i38', 'e10', 'c1', 'p04', 'l4')",4032
"('i38', 'e10', 'c1', 'p35', 'l3')",4032
"('i02', 'e08', 'c1', 'p04', 'l3')",4032
"('i06', 'e10', 'c5', 'p10', 'l4')",4032
"('i38', 'e10', 'c1', 'p05', 'l4')",4032
"('i06', 'e04', 'c5', 'p21', 'l1')",4032
"('i38', 'e11', 'c1', 'p02', 'l2')",4032
"('i06', 'e11', 'c5', 'p04', 'l2')",4031
"('i06', 'e04', 'c5', 'p35', 'l1')",4031
"('i38', 'e10', 'c1', 'p23', 'l4')",4031
"('i02', 'e09', 'c1', 'p03', 'l3')",4031
"('i06', 'e10', 'c5', 'p01', 'l1')",4031
"('i06', 'e04', 'c5', 'p07', 'l1')",4031
"('i15', 'e04', 'c2', 'p35', 'l3')",4031
"('i38', 'e10', 'c1', 'p28', 'l3')",4031
"('i38', 'e09', 'c1', 'p19', 'l2')",4031
"('i06', 'e11', 'c5', 'p13', 'l2')",4031
"('i06', 'e04', 'c5', 'p13', 'l1')",4031
"('i17', 'e04', 'c5', 'p19', 'l3')",4031
"('i06', 'e10', 'c5', 'p15', 'l1')",4031
"('i06', 'e12', 'c5', 'p23', 'l3')",4031
"('i06', 'e10', 'c5', 'p20', 'l4')",4031
"('i06', 'e12', 'c5', 'p24', 'l3')",4031
"('i06', 'e10', 'c5', 'p03', 'l1')",4031
"('i06', 'e10', 'c5', 'p16', 'l1')",4031
"('i38', 'e01', 'c1', 'p19', 'l3')",4031
"('i38', 'e10', 'c1', 'p19', 'l2')",4031
"('i38', 'e10', 'c1', 'p22', 'l3')",4031
"('i06', 'e01', 'c5', 'p21', 'l3')",4030
"('i06', 'e11', 'c5', 'p06', 'l2')",4030
"('i06', 'e04', 'c5', 'p12', 'l1')",4030
"('i38', 'e08', 'c1', 'p01', 'l2')",4030
"('i06', 'e12', 'c5', 'p04', 'l3')",4030
"('i06', 'e10', 'c5', 'p21', 'l1')",4030
"('i06', 'e12', 'c5', 'p22', 'l3')",4030
"('i06', 'e10', 'c5', 'p05', 'l1')",4030
"('i06', 'e10', 'c5', 'p07', 'l1')",4029
"('i06', 'e01', 'c5', 'p16', 'l3')",4029
"('i06', 'e10', 'c5', 'p17', 'l1')",4029
"('i06', 'e01', 'c5', 'p15', 'l3')",4029
"('i38', 'e10', 'c4', 'p10', 'l3')",4029
"('i14', 'e08', 'c5', 'p10', 'l3')",4029
"('i06', 'e04', 'c5', 'p22', 'l1')",4029
"('i06', 'e10', 'c5', 'p31', 'l4')",4029
"('i06', 'e10', 'c5', 'p13', 'l1')",4029
"('i02', 'e08', 'c1', 'p03', 'l3')",4029
"('i46', 'e04', 'c1', 'p35', 'l3')",4029
"('i38', 'e10', 'c1', 'p22', 'l4')",4029
"('i38', 'e10', 'c1', 'p35', 'l4')",4029
"('i06', 'e10', 'c5', 'p35', 'l1')",4029
"('i34', 'e08', 'c5', 'p19', 'l3')",4029
"('i06', 'e12', 'c5', 'p06', 'l3')",4029
"('i38', 'e11', 'c1', 'p06', 'l2')",4029
"('i06', 'e09', 'c5', 'p15', 'l2')",4028
"('i02', 'e08', 'c1', 'p12', 'l3')",4028
"('i06', 'e11', 'c5', 'p14', 'l2')",4028
"('i06', 'e01', 'c5', 'p01', 'l3')",4028
"('i06', 'e04', 'c5', 'p14', 'l1')",4028
"('i38', 'e11', 'c1', 'p09', 'l2')",4028
"('i46', 'e09', 'c1', 'p35', 'l3')",4028
"('i38', 'e08', 'c1', 'p13', 'l2')",4027
"('i06', 'e04', 'c5', 'p04', 'l1')",4027
"('i06', 'e01', 'c5', 'p03', 'l3')",4027
"('i06', 'e10', 'c5', 'p29', 'l1')",4027
"('i38', 'e10', 'c1', 'p20', 'l3')",4027
"('i14', 'e08', 'c5', 'p15', 'l3')",4027
"('i06', 'e01', 'c5', 'p17', 'l3')",4026
"('i06', 'e11', 'c5', 'p02', 'l2')",4026
"('i12', 'e08', 'c5', 'p19', 'l3')",4026
"('i06', 'e04', 'c5', 'p06', 'l1')",4026
"('i14', 'e08', 'c5', 'p03', 'l3')",4026
"('i02', 'e08', 'c1', 'p16', 'l3')",4026
"('i17', 'e08', 'c5', 'p19', 'l3')",4026
"('i38', 'e10', 'c1', 'p25', 'l4')",4026
"('i38', 'e11', 'c1', 'p35', 'l2')",4026
"('i38', 'e10', 'c1', 'p01', 'l2')",4025
"('i38', 'e10', 'c1', 'p28', 'l4')",4025
"('i02', 'e09', 'c1', 'p12', 'l3')",4025
"('i02', 'e08', 'c1', 'p15', 'l3')",4025
"('i02', 'e08', 'c1', 'p07', 'l3')",4025
"('i06', 'e10', 'c5', 'p12', 'l1')",4025
"('i06', 'e01', 'c5', 'p07', 'l3')",4025
"('i06', 'e09', 'c5', 'p16', 'l2')",4025
"('i06', 'e11', 'c5', 'p23', 'l2')",4025
"('i06', 'e09', 'c5', 'p21', 'l2')",4024
"('i06', 'e11', 'c5', 'p22', 'l2')",4024
"('i38', 'e11', 'c1', 'p23', 'l2')",4024
"('i14', 'e08', 'c5', 'p01', 'l3')",4024
"('i02', 'e08', 'c1', 'p18', 'l3')",4024
"('i06', 'e10', 'c5', 'p24', 'l1')",4024
"('i06', 'e12', 'c5', 'p09', 'l3')",4024
"('i06', 'e10', 'c5', 'p18', 'l1')",4024
"('i06', 'e01', 'c5', 'p35', 'l3')",4024
"('i17', 'e08', 'c5', 'p01', 'l3')",4024
"('i38', 'e10', 'c1', 'p32', 'l3')",4024
"('i06', 'e09', 'c5', 'p05', 'l2')",4023
"('i06', 'e01', 'c5', 'p05', 'l3')",4023
"('i02', 'e09', 'c1', 'p16', 'l3')",4023
"('i39', 'e04', 'c5', 'p35', 'l3')",4023
"('i02', 'e08', 'c1', 'p05', 'l3')",4023
"('i06', 'e11', 'c5', 'p08', 'l2')",4022
"('i14', 'e08', 'c5', 'p35', 'l3')",4022
"('i38', 'e04', 'c1', 'p10', 'l1')",4022
"('i06', 'e10', 'c5', 'p26', 'l4')",4022
"('i38', 'e08', 'c1', 'p03', 'l2')",4021
"('i38', 'e04', 'c1', 'p19', 'l1')",4021
"('i06', 'e01', 'c5', 'p11', 'l3')",4021
"('i06', 'e11', 'c5', 'p09', 'l2')",4021
"('i38', 'e11', 'c1', 'p22', 'l2')",4021
"('i17', 'e04', 'c5', 'p21', 'l3')",4021
"('i38', 'e08', 'c1', 'p07', 'l2')",4020
"('i14', 'e08', 'c5', 'p21', 'l3')",4020
"('i17', 'e04', 'c5', 'p03', 'l3')",4020
"('i06', 'e12', 'c5', 'p02', 'l3')",4020
"('i17', 'e01', 'c5', 'p10', 'l3')",4020
"('i38', 'e10', 'c1', 'p11', 'l2')",4019
"('i38', 'e11', 'c1', 'p25', 'l2')",4019
"('i06', 'e04', 'c5', 'p09', 'l1')",4019
"('i06', 'e04', 'c5', 'p02', 'l1')",4018
"('i02', 'e01', 'c1', 'p12', 'l3')",4018
"('i06', 'e10', 'c5', 'p14', 'l1')",4018
"('i06', 'e09', 'c5', 'p03', 'l2')",4018
"('i38', 'e10', 'c1', 'p20', 'l4')",4018
"('i06', 'e09', 'c5', 'p01', 'l2')",4018
"('i02', 'e04', 'c1', 'p11', 'l3')",4018
"('i14', 'e08', 'c5', 'p17', 'l3')",4018
"('i38', 'e08', 'c1', 'p11', 'l2')",4017
"('i02', 'e01', 'c1', 'p14', 'l3')",4017
"('i06', 'e04', 'c5', 'p23', 'l1')",4017
"('i38', 'e10', 'c1', 'p03', 'l2')",4017
"('i06', 'e09', 'c5', 'p11', 'l2')",4016
"('i38', 'e08', 'c1', 'p05', 'l2')",4016
"('i02', 'e09', 'c1', 'p17', 'l3')",4016
"('i06', 'e01', 'c5', 'p13', 'l3')",4016
"('i34', 'e03', 'c5', 'p03', 'l3')",4016
"('i02', 'e01', 'c1', 'p03', 'l3')",4016
"('i38', 'e08', 'c1', 'p29', 'l2')",4016
"('i17', 'e04', 'c5', 'p11', 'l3')",4016
"('i38', 'e10', 'c1', 'p13', 'l2')",4015
"('i06', 'e10', 'c5', 'p05', 'l2')",4015
"('i14', 'e08', 'c5', 'p02', 'l3')",4013
"('i14', 'e08', 'c5', 'p11', 'l3')",4013
"('i38', 'e10', 'c1', 'p32', 'l4')",4012
"('i06', 'e12', 'c5', 'p08', 'l3')",4012
"('i06', 'e10', 'c5', 'p04', 'l1')",4012
"('i06', 'e10', 'c5', 'p15', 'l2')",4011
"('i14', 'e08', 'c5', 'p05', 'l3')",4011
"('i02', 'e09', 'c1', 'p15', 'l3')",4011
"('i14', 'e08', 'c5', 'p16', 'l3')",4011
"('i06', 'e10', 'c5', 'p30', 'l3')",4010
"('i06', 'e09', 'c5', 'p35', 'l2')",4010
"('i34', 'e03', 'c5', 'p15', 'l3')",4010
"('i02', 'e09', 'c1', 'p04', 'l3')",4010
"('i06', 'e01', 'c5', 'p24', 'l3')",4010
"('i12', 'e04', 'c5', 'p19', 'l3')",4010
"('i06', 'e10', 'c5', 'p11', 'l2')",4009
"('i46', 'e11', 'c4', 'p35', 'l3')",4009
"('i38', 'e10', 'c4', 'p10', 'l4')",4008
"('i06', 'e10', 'c5', 'p06', 'l1')",4008
"('i06', 'e09', 'c5', 'p29', 'l2')",4008
"('i38', 'e08', 'c1', 'p17', 'l2')",4008
"('i34', 'e03', 'c5', 'p21', 'l3')",4008
"('i06', 'e01', 'c5', 'p29', 'l3')",4008
"('i02', 'e01', 'c1', 'p13', 'l3')",4007
"('i02', 'e01', 'c1', 'p16', 'l3')",4007
"('i34', 'e03', 'c5', 'p35', 'l3')",4007
"('i06', 'e09', 'c5', 'p07', 'l2')",4007
"('i06', 'e01', 'c5', 'p18', 'l3')",4007
"('i02', 'e09', 'c1', 'p13', 'l3')",4007
"('i17', 'e04', 'c5', 'p17', 'l3')",4007
"('i38', 'e08', 'c1', 'p21', 'l2')",4007
"('i38', 'e10', 'c1', 'p01', 'l1')",4006
"('i17', 'e09', 'c5', 'p10', 'l3')",4006
"('i17', 'e04', 'c5', 'p29', 'l3')",4005
"('i17', 'e08', 'c5', 'p03', 'l3')",4005
"('i38', 'e08', 'c1', 'p15', 'l2')",4005
"('i34', 'e03', 'c5', 'p11', 'l3')",4004
"('i02', 'e01', 'c1', 'p15', 'l3')",4004
"('i02', 'e09', 'c1', 'p14', 'l3')",4004
"('i38', 'e10', 'c1', 'p11', 'l1')",4004
"('i06', 'e10', 'c5', 'p21', 'l2')",4003
"('i38', 'e10', 'c1', 'p13', 'l1')",4002
"('i02', 'e01', 'c1', 'p17', 'l3')",4002
"('i34', 'e03', 'c5', 'p01', 'l3')",4001
"('i06', 'e01', 'c5', 'p12', 'l3')",4000
"('i06', 'e09', 'c5', 'p17', 'l2')",3999
"('i02', 'e01', 'c1', 'p05', 'l3')",3999
"('i06', 'e09', 'c5', 'p13', 'l2')",3998
"('i05', 'e12', 'c1', 'p35', 'l3')",3998
"('i06', 'e10', 'c5', 'p16', 'l2')",3997
"('i34', 'e03', 'c5', 'p17', 'l3')",3997
"('i06', 'e09', 'c5', 'p24', 'l2')",3996
"('i26', 'e11', 'c1', 'p35', 'l3')",3996
"('i38', 'e01', 'c1', 'p13', 'l3')",3995
"('i06', 'e10', 'c5', 'p03', 'l2')",3995
"('i02', 'e08', 'c1', 'p35', 'l3')",3995
"('i06', 'e10', 'c5', 'p01', 'l2')",3994
"('i06', 'e09', 'c5', 'p12', 'l2')",3993
"('i06', 'e10', 'c5', 'p09', 'l1')",3993
"('i06', 'e11', 'c5', 'p32', 'l2')",3991
"('i38', 'e11', 'c1', 'p28', 'l2')",3991
"('i06', 'e10', 'c5', 'p35', 'l2')",3991
"('i02', 'e04', 'c1', 'p03', 'l3')",3991
"('i38', 'e10', 'c1', 'p03', 'l1')",3990
"('i12', 'e08', 'c5', 'p10', 'l3')",3990
"('i34', 'e03', 'c5', 'p12', 'l3')",3989
"('i38', 'e12', 'c1', 'p10', 'l3')",3989
"('i06', 'e09', 'c5', 'p18', 'l2')",3989
"('i14', 'e08', 'c5', 'p07', 'l3')",3988
"('i38', 'e10', 'c1', 'p07', 'l2')",3988
"('i02', 'e09', 'c1', 'p05', 'l3')",3988
"('i38', 'e10', 'c1', 'p21', 'l2')",3987
"('i34', 'e03', 'c5', 'p13', 'l3')",3987
"('i06', 'e01', 'c5', 'p04', 'l3')",3987
"('i38', 'e09', 'c1', 'p13', 'l2')",3987
"('i38', 'e01', 'c1', 'p01', 'l3')",3987
"('i17', 'e08', 'c5', 'p21', 'l3')",3987
"('i38', 'e09', 'c1', 'p03', 'l2')",3987
"('i38', 'e01', 'c1', 'p03', 'l3')",3985
"('i05', 'e12', 'c1', 'p10', 'l3')",3983
"('i14', 'e08', 'c5', 'p24', 'l3')",3983
"('i05', 'e12', 'c1', 'p19', 'l3')",3983
"('i06', 'e08', 'c5', 'p31', 'l2')",3983
"('i06', 'e11', 'c5', 'p25', 'l2')",3983
"('i34', 'e03', 'c5', 'p05', 'l3')",3982
"('i02', 'e01', 'c1', 'p04', 'l3')",3982
"('i02', 'e09', 'c1', 'p29', 'l3')",3982
"('i17', 'e04', 'c5', 'p13', 'l3')",3981
"('i38', 'e08', 'c1', 'p02', 'l2')",3981
"('i02', 'e04', 'c1', 'p13', 'l3')",3981
"('i06', 'e10', 'c5', 'p07', 'l2')",3980
"('i06', 'e04', 'c5', 'p08', 'l1')",3979
"('i38', 'e11', 'c1', 'p32', 'l2')",3979
"('i38', 'e10', 'c1', 'p15', 'l2')",3979
"('i06', 'e12', 'c5', 'p28', 'l3')",3979
"('i38', 'e11', 'c1', 'p20', 'l2')",3978
"('i38', 'e08', 'c1', 'p12', 'l2')",3978
"('i38', 'e10', 'c1', 'p17', 'l2')",3977
