leaf,count,diff,isWhiteNoise,max,min,mean,std,diff_smooth,isWhiteNoise_smooth,max_smooth,min_smooth,mean_smooth,std_smooth
"('i06', 'e04', 'c5', 'p16', 'l1')",4032,0,0,929,3,182.61780753968253,104.88472040180375,0,0,480,3,181.57638888888889,101.44136392779478
"('i06', 'e08', 'c5', 'p05', 'l2')",4032,0,0,18284,89,2033.5223214285713,1280.7900868313916,0,0,5871,89,2011.343998015873,1156.4575008870086
"('i06', 'e08', 'c5', 'p09', 'l2')",4032,0,0,6759,9,685.0381944444445,482.73777607097037,0,0,2102,9,673.1448412698413,433.47832493410004
"('i06', 'e11', 'c5', 'p17', 'l2')",4032,0,0,2098,3,308.08953373015873,195.15568334955503,0,0,892,3,304.8174603174603,183.58563513865758
"('i38', 'e11', 'c1', 'p05', 'l2')",4032,0,0,980,4,143.9032738095238,75.78381474024489,0,0,365,4,142.78025793650792,72.17523612332195
"('i06', 'e08', 'c5', 'p11', 'l2')",4032,0,0,22213,117,1692.2217261904761,1055.3064621764172,0,0,4770,117,1667.154761904762,902.343813628263
"('i06', 'e12', 'c5', 'p16', 'l3')",4032,0,0,2827,5,452.8407738095238,363.1563330937076,0,0,1541,5,446.60515873015873,341.11819850364424
"('i38', 'e10', 'c1', 'p01', 'l4')",4032,0,0,11269,139,2589.5210813492063,1351.758146033923,0,0,6453,139,2579.9407242063494,1323.0406916771694
"('i06', 'e12', 'c5', 'p10', 'l3')",4032,0,0,9642,28,959.7872023809524,807.806520067769,0,0,3374,28,945.6473214285714,751.8566774428782
"('i38', 'e10', 'c1', 'p18', 'l3')",4032,0,0,13707,101,4627.922619047619,2418.0782666069335,0,0,11692,101,4626.394097222223,2414.096102839512
"('i38', 'e10', 'c1', 'p06', 'l3')",4032,0,0,8862,6,2947.8596230158732,1595.5489879825811,0,0,7482,6,2946.8226686507937,1592.6582312659136
"('i38', 'e10', 'c1', 'p29', 'l4')",4032,0,0,3064,24,683.141121031746,345.64436701319124,0,0,1671,24,681.0796130952381,339.5910265868967
"('i06', 'e01', 'c5', 'p19', 'l3')",4032,0,0,2292,5,254.41170634920636,140.95825377538497,0,0,674,5,253.65724206349208,136.52187116604978
"('i02', 'e04', 'c1', 'p19', 'l3')",4032,0,0,1325,8,493.1294642857143,357.9835884618824,0,0,1325,8,493.1294642857143,357.9835884618824
"('i02', 'e08', 'c1', 'p14', 'l3')",4032,0,0,2229,2,230.2564484126984,223.4210075955376,0,0,898,2,224.92261904761904,204.26371348604442
"('i06', 'e10', 'c5', 'p05', 'l4')",4032,0,0,12211,182,2725.2886904761904,1400.1377768412533,0,0,6433,182,2719.7901785714284,1381.7735792553506
"('i06', 'e04', 'c5', 'p05', 'l1')",4032,0,0,1116,3,188.52628968253967,118.20236424042962,0,0,541,3,185.98983134920636,109.28605406394898
"('i02', 'e08', 'c1', 'p11', 'l3')",4032,0,0,3250,1,701.3730158730159,669.1547000842726,0,0,2692,1,699.3998015873016,663.669870720035
"('i38', 'e10', 'c1', 'p25', 'l3')",4032,0,0,3997,4,1265.670138888889,725.0309191006717,0,0,3427,4,1264.201636904762,721.2689622739779
"('i38', 'e10', 'c1', 'p09', 'l3')",4032,0,0,10515,29,3133.043898809524,1645.2232922483881,0,0,8008,29,3130.933035714286,1639.153166471844
"('i06', 'e04', 'c5', 'p03', 'l1')",4032,0,0,616,1,125.64484126984127,75.61891358936019,0,0,351,1,124.79439484126983,72.843865959104
"('i34', 'e03', 'c5', 'p19', 'l3')",4032,0,0,413,2,147.64508928571428,77.28260459449264,0,0,374,2,147.52678571428572,76.9730664139115
"('i06', 'e11', 'c5', 'p05', 'l2')",4032,0,0,2409,8,516.9603174603175,332.70109745940556,0,0,1508,8,512.5992063492064,318.2672785484053
"('i06', 'e10', 'c5', 'p29', 'l4')",4032,0,0,5827,96,1348.1919642857142,669.7541151473845,0,0,3353,96,1346.0830853174602,662.3399539322724
"('i06', 'e04', 'c5', 'p19', 'l1')",4032,0,0,2992,14,499.48040674603175,274.56088157547356,0,0,1295,14,495.7943948412698,260.59794193280567
"('i02', 'e01', 'c1', 'p11', 'l3')",4032,0,0,442,1,137.49429563492063,100.81051722973594,0,0,437,1,137.46626984126985,100.7415429963839
"('i06', 'e11', 'c5', 'p11', 'l2')",4032,0,0,3759,5,388.0825892857143,249.61870997877983,0,0,1132,5,383.7467757936508,233.13181692344168
"('i06', 'e04', 'c5', 'p15', 'l1')",4032,0,0,1345,4,177.5766369047619,103.7229983977811,0,0,477,4,176.58085317460316,99.54016503315457
"('i38', 'e11', 'c1', 'p11', 'l2')",4032,0,0,1219,13,246.4469246031746,122.32294525954853,0,0,593,13,245.2470238095238,117.93382632618999
"('i06', 'e10', 'c5', 'p04', 'l4')",4032,0,0,5332,46,1282.3774801587301,669.7419659548823,0,0,3166,46,1280.6049107142858,663.4983211944616
"('i06', 'e10', 'c5', 'p02', 'l3')",4032,0,0,40300,478,11500.353422619048,5663.840753253701,0,0,26538,478,11494.468005952382,5642.642783379222
"('i38', 'e10', 'c1', 'p14', 'l3')",4032,0,0,12191,19,3933.4332837301586,2087.1362319711848,0,0,9950,19,3930.6924603174602,2079.895028845105
"('i06', 'e10', 'c5', 'p26', 'l3')",4032,0,0,4674,4,1462.8216765873017,816.1142985574309,0,0,3701,4,1462.111359126984,814.0960333022331
"('i06', 'e04', 'c5', 'p24', 'l1')",4032,0,0,616,2,135.74429563492063,83.8675102054154,0,0,378,2,135.18377976190476,82.2122278106269
"('i15', 'e01', 'c2', 'p35', 'l3')",4032,0,0,9319,1,734.7380952380952,1006.3064865625975,0,0,3743,1,703.921130952381,880.1883119615941
"('i38', 'e10', 'c1', 'p18', 'l4')",4032,0,0,3954,10,794.5362103174604,429.91394450619583,0,0,2076,10,790.0860615079365,416.8217940799211
"('i06', 'e11', 'c5', 'p10', 'l2')",4032,0,0,6933,42,1489.438988095238,981.3194047074201,0,0,4421,42,1477.482142857143,944.8414613478369
"('i06', 'e10', 'c5', 'p07', 'l3')",4032,0,0,73867,1608,23596.285962301587,11516.480250792178,0,0,57927,1608,23590.039186507936,11494.178610777737
"('i06', 'e10', 'c5', 'p21', 'l4')",4032,0,0,10949,173,2747.9920634920636,1462.8729838918018,0,0,6836,173,2744.1262400793653,1451.3074251336159
"('i38', 'e10', 'c1', 'p24', 'l4')",4032,0,0,3690,29,869.4283234126984,471.57890591641603,0,0,2262,29,866.547867063492,463.8601687376099
"('i06', 'e10', 'c5', 'p01', 'l4')",4032,0,0,9762,189,2758.410714285714,1444.4829869773303,0,0,7054,189,2754.8586309523807,1434.5218388390128
"('i06', 'e10', 'c5', 'p25', 'l4')",4032,0,0,2132,20,581.7695932539683,311.7373992470565,0,0,1447,20,581.1927083333334,310.18869595716956
"('i46', 'e01', 'c1', 'p35', 'l3')",4032,0,0,61171,1,1243.640873015873,4562.94826021432,0,0,14821,1,942.9501488095239,2292.690937385591
"('i06', 'e10', 'c5', 'p23', 'l3')",4032,0,0,28200,523,10339.046626984127,5216.128036081759,0,0,24344,523,10338.090277777777,5213.205908034726
"('i06', 'e10', 'c5', 'p22', 'l3')",4032,0,0,23845,299,9561.120039682539,4826.326541058715,0,0,23845,299,9561.120039682539,4826.326541058715
"('i38', 'e10', 'c1', 'p12', 'l3')",4032,0,0,23709,204,8391.616319444445,4341.798130305799,0,0,21230,204,8385.166666666666,4325.738889195694
"('i06', 'e12', 'c5', 'p18', 'l3')",4032,0,0,2085,3,236.0233134920635,198.55508799420338,0,0,831,3,230.06969246031747,176.3421853202362
"('i06', 'e12', 'c5', 'p29', 'l3')",4032,0,0,2202,3,226.01364087301587,199.0748233207716,0,0,823,3,219.9231150793651,177.10527746784663
"('i06', 'e11', 'c5', 'p01', 'l2')",4032,0,0,3463,4,427.24107142857144,278.3717857663682,0,0,1260,4,422.6061507936508,260.5749397925327
"('i06', 'e12', 'c5', 'p01', 'l3')",4032,0,0,2181,4,315.9471726190476,262.4536295720401,0,0,1103,4,308.6691468253968,238.69831913942414
"('i06', 'e10', 'c5', 'p12', 'l4')",4032,0,0,7938,97,1855.9489087301588,973.3708333085156,0,0,4689,97,1852.8199404761904,963.0129901335025
"('i06', 'e10', 'c5', 'p07', 'l4')",4032,0,0,8091,116,1870.8474702380952,949.6887994350413,0,0,4444,116,1867.3836805555557,937.5443806223008
"('i06', 'e10', 'c5', 'p10', 'l1')",4032,0,0,13020,2,189.34474206349208,315.24687620730714,0,0,1081,2,181.5376984126984,112.74833951307959
"('i06', 'e04', 'c5', 'p10', 'l1')",4032,0,0,2583,16,395.843253968254,232.4343134171403,0,0,1093,16,391.0969742063492,212.72738714336847
"('i38', 'e10', 'c1', 'p03', 'l4')",4032,0,0,18350,130,2660.8065476190477,1475.197269488234,0,0,7072,130,2641.089285714286,1402.5839863460055
"('i06', 'e04', 'c5', 'p01', 'l1')",4032,0,0,701,2,176.81671626984127,101.38803489256436,0,0,478,2,176.22891865079364,99.57564936992273
"('i46', 'e08', 'c4', 'p35', 'l3')",4032,0,0,38835,3,657.8159722222222,1450.8945492073128,0,0,4922,3,565.2140376984127,853.8180813516557
"('i06', 'e10', 'c5', 'p35', 'l4')",4032,0,0,12741,122,1689.2760416666667,885.5813031481199,0,0,4285,122,1684.3229166666667,852.6461314559112
"('i06', 'e08', 'c5', 'p20', 'l2')",4032,0,0,2263,8,252.84201388888889,205.62535663767937,0,0,868,8,244.64806547619048,174.8916484332346
"('i06', 'e08', 'c5', 'p07', 'l2')",4032,0,0,8230,41,1244.0649801587301,770.5173340343619,0,0,3550,41,1234.265376984127,732.0888026001468
"('i38', 'e10', 'c1', 'p19', 'l4')",4032,0,0,21965,318,4751.351934523809,2381.8751802741426,0,0,11887,318,4733.77628968254,2327.5009587217187
"('i38', 'e10', 'c1', 'p09', 'l4')",4032,0,0,3242,7,555.0334821428571,295.181633147452,0,0,1375,7,553.1599702380952,288.49808198380185
"('i06', 'e09', 'c5', 'p10', 'l2')",4032,0,0,898,1,165.29910714285714,94.97225899893893,0,0,446,1,164.9126984126984,93.49620311799016
"('i02', 'e09', 'c1', 'p19', 'l3')",4032,0,0,1680,6,384.10863095238096,254.35195159984426,0,0,1089,6,383.7395833333333,252.9802160700363
"('i06', 'e11', 'c5', 'p21', 'l2')",4032,0,0,4796,2,481.5295138888889,317.365845645219,0,0,1430,2,476.71453373015873,297.73159437448135
"('i06', 'e08', 'c5', 'p06', 'l2')",4032,0,0,10377,45,1038.5587797619048,666.5929125997912,0,0,2957,45,1027.4796626984128,620.1562239838587
"('i06', 'e10', 'c5', 'p14', 'l3')",4032,0,0,51822,750,15947.897817460318,7947.019748741042,0,0,37539,750,15941.09945436508,7922.636427952725
"('i15', 'e09', 'c2', 'p35', 'l3')",4032,0,0,10357,2,837.1825396825396,1220.1193834757453,0,0,4473,2,803.1458333333334,1086.3197885971324
"('i46', 'e11', 'c1', 'p35', 'l3')",4032,0,0,1045908,81,24062.142609126986,77612.71739092008,0,0,256735,81,18788.337549603173,39048.787823065555
"('i38', 'e10', 'c1', 'p11', 'l4')",4032,0,0,10434,104,2249.2703373015875,1158.942416873272,0,0,5630,104,2240.6101190476193,1131.1794498200645
"('i06', 'e12', 'c5', 'p13', 'l3')",4032,0,0,1850,1,276.8110119047619,226.44110252878616,0,0,956,1,271.79761904761904,211.64637185768515
"('i06', 'e10', 'c5', 'p10', 'l2')",4032,0,0,4242,3,200.0530753968254,148.2343475250485,0,0,637,3,196.4501488095238,109.07008402465144
"('i38', 'e10', 'c1', 'p13', 'l4')",4032,1,0,7170,69,2028.3648313492063,1079.2935384988223,1,0,4923,69,2026.6664186507937,1074.3101125096734
"('i06', 'e08', 'c5', 'p35', 'l2')",4032,0,0,7458,111,1681.2839781746031,892.2709003349661,0,0,4348,111,1672.888888888889,867.4483903244868
"('i38', 'e10', 'c1', 'p10', 'l4')",4032,0,0,38511,649,9783.440476190477,5158.845742822965,0,0,24912,649,9760.837301587302,5094.998246297954
"('i47', 'e04', 'c1', 'p35', 'l3')",4032,0,0,7075,17,333.5830853174603,423.34280435787724,0,0,1569,17,308.3640873015873,240.1464425491418
"('i06', 'e11', 'c5', 'p24', 'l2')",4032,0,0,1776,2,308.7765376984127,193.2126442753003,0,0,886,2,306.3690476190476,185.2340626091224
"('i02', 'e01', 'c1', 'p10', 'l3')",4032,0,0,489,6,163.38045634920636,111.46624736029017,0,0,489,6,163.38045634920636,111.46624736029017
"('i38', 'e10', 'c1', 'p19', 'l3')",4032,0,0,161569,2204,29822.491567460318,15072.611933534838,0,0,74988,2204,29677.6029265873,14541.517299301824
"('i06', 'e10', 'c5', 'p11', 'l3')",4032,0,0,111786,1993,31277.117063492064,15070.374159118279,0,0,74998,1993,31258.881944444445,14995.031643317023
"('i06', 'e10', 'c5', 'p01', 'l3')",4032,0,0,122677,2004,31038.465029761905,15214.840380687174,0,0,73317,2004,31010.7564484127,15105.179515981525
"('i38', 'e10', 'c1', 'p21', 'l3')",4032,0,0,26666,366,9226.850198412698,4849.841079704862,0,0,22972,366,9223.056299603175,4840.5952526886795
"('i06', 'e10', 'c5', 'p15', 'l3')",4032,0,0,135483,2586,44046.03497023809,21668.14936681617,0,0,103043,2586,44030.66195436508,21615.204314408686
"('i02', 'e08', 'c1', 'p29', 'l3')",4032,0,0,1878,1,234.45709325396825,207.63672619209987,0,0,850,1,232.125,199.77796392753567
"('i06', 'e10', 'c5', 'p23', 'l4')",4032,0,0,3558,34,924.8839285714286,497.3431055145133,0,0,2323,34,923.812251984127,494.3196394752293
"('i06', 'e10', 'c5', 'p19', 'l1')",4032,0,0,23763,4,193.13219246031747,522.6365253541704,0,0,1390,4,178.9546130952381,114.05846964416347
"('i17', 'e04', 'c5', 'p10', 'l3')",4032,0,0,1819,2,168.9469246031746,123.85987050010927,0,0,535,2,164.94866071428572,105.75487386603324
"('i06', 'e12', 'c5', 'p03', 'l3')",4032,0,0,4791,4,328.95684523809524,297.33455637622126,0,0,1216,4,319.296626984127,251.66489042366655
"('i06', 'e08', 'c5', 'p04', 'l2')",4032,0,0,5451,48,1023.4273313492064,600.2268359877806,0,0,2815,48,1015.7127976190476,573.2073802289354
"('i02', 'e08', 'c1', 'p10', 'l3')",4032,0,0,3522,13,813.516617063492,718.4981696313191,0,0,2925,13,812.6676587301587,716.1185190310891
"('i17', 'e04', 'c5', 'p01', 'l3')",4032,0,0,411,1,79.4563492063492,44.53308894827396,0,0,213,1,79.0171130952381,43.01438199407784
"('i06', 'e10', 'c5', 'p13', 'l4')",4032,0,0,7155,89,1679.6121031746031,838.2508999471717,0,0,4165,89,1676.1165674603174,826.9195773496301
"('i38', 'e09', 'c1', 'p10', 'l2')",4032,0,0,1130,2,298.2886904761905,202.02515974430938,0,0,904,2,297.5639880952381,199.72408391379892
"('i06', 'e10', 'c5', 'p35', 'l3')",4032,0,0,59987,963,19772.772569444445,10140.055069579195,0,0,47807,963,19762.543402777777,10112.126647295983
"('i38', 'e11', 'c1', 'p18', 'l2')",4032,0,0,543,1,86.86359126984127,47.45961361414954,0,0,221,1,85.9796626984127,44.14758216479515
"('i06', 'e10', 'c5', 'p08', 'l3')",4032,0,0,22665,425,8447.72544642857,4128.260093858782,0,0,20191,425,8447.11185515873,4126.3303139424315
"('i06', 'e10', 'c5', 'p15', 'l4')",4032,0,0,14696,203,3286.2204861111113,1675.9397699046872,0,0,8079,203,3280.7105654761904,1655.393419349273
"('i38', 'e10', 'c1', 'p07', 'l4')",4032,0,0,8127,29,1507.2931547619048,779.7068326707547,0,0,3762,29,1501.609623015873,759.7145867757039
"('i06', 'e10', 'c5', 'p28', 'l4')",4032,0,0,2738,21,604.0250496031746,327.728076430523,0,0,1511,21,602.3807043650794,322.56237731119035
"('i06', 'e10', 'c5', 'p04', 'l3')",4032,0,0,45788,590,16443.619543650795,8186.240841265627,0,0,35386,590,16438.489831349205,8171.115232194038
"('i06', 'e10', 'c5', 'p19', 'l4')",4032,0,0,24476,499,5856.168898809524,2869.2865723072687,0,0,14219,499,5845.363343253968,2832.895968987686
"('i06', 'e10', 'c5', 'p06', 'l4')",4032,0,0,4681,37,1317.876488095238,690.352669766359,0,0,3074,37,1315.9188988095239,685.2114637971446
"('i38', 'e10', 'c1', 'p15', 'l4')",4032,0,0,7420,55,1627.6031746031747,853.8039789053947,0,0,4036,55,1619.7914186507937,830.7505077618662
"('i38', 'e10', 'c1', 'p17', 'l4')",4032,0,0,5896,17,1437.517113095238,740.6547207584282,0,0,3657,17,1433.9459325396826,730.0909781406862
"('i38', 'e11', 'c1', 'p10', 'l2')",4032,0,0,4485,53,967.110119047619,488.3655114711012,0,0,2405,53,964.6148313492064,479.8991603198176
"('i06', 'e08', 'c5', 'p10', 'l2')",4032,0,0,41964,393,4553.559523809524,2623.8565363679936,0,0,12347,393,4520.553571428572,2432.382315911924
"('i06', 'e08', 'c5', 'p18', 'l2')",4032,0,0,11676,42,1298.0223214285713,791.8824968937465,0,0,3657,42,1281.329365079365,721.5093909581958
"('i47', 'e01', 'c1', 'p35', 'l3')",4032,0,0,3141,51,317.74801587301585,279.7481834204033,0,0,1144,51,299.64434523809524,172.56936435433315
"('i06', 'e08', 'c5', 'p29', 'l2')",4032,0,0,6154,29,1250.936507936508,732.5723730001314,0,0,3434,29,1233.7527281746031,680.7943631510994
"('i46', 'e08', 'c1', 'p35', 'l3')",4032,0,0,120008,41,2850.0354662698414,6925.559218257924,0,0,23469,41,2405.0548115079364,3740.162334964429
"('i38', 'e10', 'c1', 'p08', 'l4')",4032,0,0,1806,6,408.6111111111111,212.55751452187667,0,0,1013,6,407.2063492063492,208.1764935329817
"('i06', 'e12', 'c5', 'p07', 'l3')",4032,0,0,3417,1,245.45138888888889,273.010165950568,0,0,1064,1,233.3045634920635,225.36138966423854
"('i38', 'e10', 'c1', 'p16', 'l4')",4032,0,0,5597,19,999.7904265873016,526.34344547723,0,0,2547,19,997.406746031746,517.7409551704793
"('i38', 'e11', 'c1', 'p15', 'l2')",4032,0,0,1610,6,167.52455357142858,90.5137146074713,0,0,437,6,165.99751984126985,83.85680523088959
"('i06', 'e08', 'c5', 'p17', 'l2')",4032,0,0,8620,94,1604.2715773809523,934.5883719614998,0,0,4407,94,1595.517857142857,906.988719543708
"('i06', 'e08', 'c5', 'p12', 'l2')",4032,0,0,8400,48,1318.9967757936508,784.9974204660891,0,0,3665,48,1311.1746031746031,754.7661989971808
"('i38', 'e11', 'c1', 'p21', 'l2')",4032,0,0,714,6,169.296626984127,89.74008881325038,0,0,422,6,168.48263888888889,87.13567119511714
"('i06', 'e12', 'c5', 'p35', 'l3')",4032,0,0,4232,6,253.95213293650792,215.7880099047787,0,0,897,6,246.4206349206349,177.26431969938497
"('i06', 'e08', 'c5', 'p13', 'l2')",4032,0,0,11329,76,1179.8878968253969,743.4564462245775,0,0,3387,76,1161.2006448412699,659.2773089593719
"('i02', 'e08', 'c1', 'p13', 'l3')",4032,0,0,2616,3,438.29464285714283,397.6716404549043,0,0,1617,3,436.1312003968254,391.6259197380355
"('i06', 'e08', 'c5', 'p28', 'l2')",4032,0,0,2830,4,418.14732142857144,292.0877625551812,0,0,1293,4,412.093253968254,272.89544761955113
"('i06', 'e10', 'c5', 'p31', 'l3')",4032,0,0,6350,8,2438.7440476190477,1322.9888881539614,0,0,6350,8,2438.7440476190477,1322.9888881539614
"('i38', 'e11', 'c1', 'p03', 'l2')",4032,0,0,2026,13,274.8013392857143,140.40340995847723,0,0,684,13,272.3831845238095,131.54431379969796
"('i06', 'e11', 'c5', 'p29', 'l2')",4032,0,0,2443,1,250.76289682539684,162.67814817361213,0,0,735,1,247.93179563492063,148.86216113175095
"('i06', 'e10', 'c5', 'p19', 'l2')",4032,0,0,9734,2,183.0389384920635,180.39696560658572,0,0,708,2,180.5768849206349,99.02082383516455
"('i06', 'e10', 'c5', 'p08', 'l4')",4032,0,0,3060,36,687.6542658730159,343.97984885788645,0,0,1515,36,686.6473214285714,340.2823351014727
"('i38', 'e11', 'c1', 'p17', 'l2')",4032,0,0,1699,3,155.92385912698413,83.3616434423454,0,0,403,3,154.73115079365078,76.97069081094288
"('i06', 'e01', 'c5', 'p10', 'l3')",4032,0,0,1662,4,202.68080357142858,115.55858151798815,0,0,548,4,202.11755952380952,112.3420896562361
"('i38', 'e10', 'c1', 'p07', 'l3')",4032,0,0,23197,262,8900.302083333334,4473.735151566832,0,0,21734,262,8898.344246031746,4468.708718262716
"('i06', 'e10', 'c5', 'p06', 'l3')",4032,0,0,52238,591,16553.54513888889,8550.977646489324,0,0,39398,591,16544.095238095237,8524.05188630232
"('i38', 'e10', 'c1', 'p06', 'l4')",4032,0,0,3959,2,526.359871031746,289.101064170211,0,0,1356,2,524.5587797619048,280.67882215735125
"('i06', 'e08', 'c5', 'p15', 'l2')",4032,0,0,9668,69,2481.172867063492,1441.355425950373,0,0,6775,69,2470.6021825396824,1412.5041264426304
"('i38', 'e11', 'c1', 'p14', 'l2')",4032,0,0,390,1,63.148065476190474,34.493855146744636,0,0,166,1,62.535714285714285,32.385891167482455
"('i06', 'e11', 'c5', 'p03', 'l2')",4032,0,0,2618,1,385.79315476190476,255.82772673546307,0,0,1149,1,380.6902281746032,238.0415745078871
"('i06', 'e10', 'c5', 'p22', 'l4')",4032,0,0,3381,24,863.531994047619,455.5111090897331,0,0,2061,24,862.5803571428571,452.68013437592174
"('i38', 'e11', 'c1', 'p08', 'l2')",4032,0,0,285,1,42.20039682539682,23.088823479852746,0,0,110,1,41.69990079365079,21.08939589077357
"('i38', 'e11', 'c1', 'p24', 'l2')",4032,0,0,448,3,91.23239087301587,48.1120015679972,0,0,231,3,90.70486111111111,46.446431810817295
"('i06', 'e08', 'c5', 'p02', 'l2')",4032,0,0,5391,24,616.9608134920635,400.37883034672853,0,0,1808,24,607.5907738095239,363.7046816178621
"('i06', 'e08', 'c5', 'p32', 'l2')",4032,0,0,4047,4,541.7760416666666,427.34889384998735,0,0,1817,4,530.406994047619,390.09087486821375
"('i06', 'e08', 'c5', 'p22', 'l2')",4032,0,0,6804,33,878.6267361111111,555.0319728469727,0,0,2515,33,867.359375,512.997172772159
"('i06', 'e12', 'c5', 'p11', 'l3')",4032,0,0,2237,10,391.88368055555554,296.77373604865863,0,0,1281,10,386.30406746031747,280.16688054743014
"('i06', 'e10', 'c5', 'p02', 'l4')",4032,0,0,4164,36,918.2393353174604,467.0197351782757,0,0,2230,36,916.7271825396825,461.3565820585294
"('i38', 'e11', 'c1', 'p13', 'l2')",4032,0,0,853,6,196.86036706349208,91.47537723096748,0,0,446,6,196.52380952380952,90.34206615543813
"('i06', 'e12', 'c5', 'p15', 'l3')",4032,0,0,3668,9,488.9655257936508,400.2859804227935,0,0,1686,9,483.702876984127,382.0909902276571
"('i06', 'e12', 'c5', 'p12', 'l3')",4032,0,0,1962,1,270.2559523809524,251.5138075754035,0,0,1022,1,262.8668154761905,226.25930190028967
"('i06', 'e12', 'c5', 'p05', 'l3')",4032,0,0,3042,5,387.4796626984127,366.75725488529514,0,0,1485,5,378.97271825396825,336.70861471009624
"('i34', 'e08', 'c5', 'p10', 'l3')",4032,0,0,1991,1,95.26364087301587,94.4793779854727,0,0,370,1,90.04290674603175,65.58698176367234
"('i06', 'e10', 'c5', 'p12', 'l3')",4032,0,0,85693,1287,24989.9935515873,12485.73598077443,0,0,61402,1287,24979.142113095237,12444.394588169558
